city,perc_first_dose,vax_rate,active_cases,active,city_rank,city_code,city_eng,Geoname ID,Name,Alternate Names,lat,long,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country,Coordinates,...22,city2
מעגן מיכאל,63.44,61.76,0,0.0,2,694,MA'AGAN MIKHA'EL,294410,Ma‘agan Mikha’el,"Hatsofim Alef,Ma`agan Mikha'el,Ma`gan Mikhael,Maagan Michael,Ma‘agan Mikha’el,Ma‘gan Mikhael,maʻagan miykaʼel,mʻgn mykʼl,מַעֲגַן מִיכָאֵל,מעגן מיכאל",32.55549,34.91638,P,PPL,IL,NA,04,NA,NA,NA,1992,NA,23,Asia/Jerusalem,2020-11-23T00:00:00Z,Israel,"32.55549, 34.91638",NA,Ma'agan Mikha'el
הוד השרון,66.18,64.02,קטן מ-15,NA,1.8,9700,HOD HASHARON,294760,Hod HaSharon,"God-ga-Sharon,Hada Ramatayim,Hadar Ramataim,Hadar Ramatayim,Hod HaSaron,Hod HaSharon,Hod Hasharon,Hod Hasjaron,Hod HaŞaron,Hod HaȘaron,Hod ha-Saron,Hod ha-Szaron,Hod ha-Šaron,Hod haScharon,Khod Khasharon,Khod-kha-Sharon,Ramatayim,huo de xia sha long,hwd hsharwn,hwd hsrwn,Год-га-Шарон,Ход Хашарон,Ход-ха-Шарон,הוד השרון,חוד השרון,هود هشارون,ہود ہشارون,霍德夏沙隆",32.15934,34.8932,P,PPL,IL,NA,02,NA,NA,NA,43185,NA,57,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.15934, 34.8932",NA,Hod HaSharon
שפרעם,55.95,51.18,קטן מ-15,NA,1.6,8800,SHEFAR'AM,293539,Shefar‘am,"Shafa `Amr,Shafa ‘Amr,Shefa-'Amr,Shefar`am,Shefar‘am,Shfar'am,Shfar’am,separeʻam,shfa ʿmrw,shfaʿmrw,shfaʿmrw‎,שְׁפַרְעָם,שפרעם,شفا عمرو,شفاعمرو,شفاعمرو‎",32.80583,35.16895,P,PPL,IL,NA,03,NA,NA,NA,41558,NA,137,Asia/Jerusalem,2020-04-30T00:00:00Z,Israel,"32.80583, 35.16895",NA,Shefar'am
בת ים,64.24,60.44,33,2.6,1.2,6200,BAT YAM,295548,Bat Yam,"Bat Jam,Bat Jamas,Bat Yam,Bat-Jam,ba te ya mu,bat yam,bat-iami,bateuyam,bt yam,bt ym,Бат Јам,Бат Ям,Бат-Ям,בת ים,بات يام,بات یام,بت یام,ბათ-იამი,バト・ヤム,巴特亚姆,바트얌",32.02379,34.75185,P,PPL,IL,NA,05,NA,NA,NA,128979,NA,32,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.02379, 34.75185",NA,Bat Yam
יהוד,67.81,64.76,קטן מ-15,NA,1.9,9400,YEHUD,293207,Yehud,"Al Yahudiya,El Yehudiye,El Yehūdīye,Jekhud,Kefar Yehud,Yahud,Yahudiya,Yahudiyyah,Yahūdīya,Yehud,Yehudie,Yhud,`Abbasiya,yhwd,Йехуд,יהוד,‘Abbāsīya",32.03317,34.89091,P,PPL,IL,NA,02,NA,NA,NA,25600,NA,44,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.03317, 34.89091",NA,Yehud
רמת ישי,67.93,66.02,קטן מ-15,NA,2,122,RAMAT YISHAY,293773,Ramat Yishay,"Jadah,Jeida,Ramat Yishai,Ramat Yishay,rmt ysy,רמת ישי",32.70444,35.1707,P,PPL,IL,NA,03,NA,NA,NA,5431,NA,98,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.70444, 35.1707",NA,Ramat Yishay
באר יעקב,52.65,49.58,קטן מ-15,NA,1.8,2530,BE'ER YA'AQOV,295525,Be’er Ya‘aqov,"Be'er Ya`akov,Be'er Ya`aqov,Beryacob,Be’er Ya‘akov,Be’er Ya‘aqov,Bir Jacob,Khirbet Ibyar el Leimun,Khirbet Ibyār el Leimūn,bʼr yʻqb,באר יעקב",31.93864,34.83749,P,PPL,IL,NA,02,NA,NA,NA,26122,NA,74,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"31.93864, 34.83749",NA,Be'er Ya'aqov
ערד,63.95,58.33,קטן מ-15,NA,1.8,2560,ARAD,295657,Arad,"Arad,`Arad,ʻarad,ʻrd,Арад,עֲרָד,ערד,‘Arad",31.25882,35.21282,P,PPL,IL,NA,01,NA,NA,NA,23700,NA,613,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"31.25882, 35.21282",NA,Arad
"כפר חב""ד",37.43,32.67,קטן מ-15,NA,3.7,696,KEFAR HABAD,294545,Kefar H̱abad,"Kefar Habad,Kefar Habbad,Kefar H̱abad,Kefar H̱abbad,Kfar Chabad,Kfar Habad,kepar habad,kpr hb''d,כְּפַר חַבָּד,כפר חב’’ד",31.98793,34.8516,P,PPL,IL,NA,02,NA,NA,NA,4771,NA,43,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"31.98793, 34.8516",NA,Kefar Habad
רחובות,59.15,56.18,24,1.6,1.3,8400,REHOVOT,293725,Reẖovot,"Khirbet Deiran,Khirbet Deirān,Rechovot,Rechowot,Rehobot,Rehovot,Rehovoth,Rejovot,Reẖovot,Rhovot,Ruhaybah,rekhovot,rhwbwt,Реховот,רחובות",31.89421,34.81199,P,PPL,IL,NA,02,NA,NA,NA,132671,NA,47,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"31.89421, 34.81199",NA,Rehovot
מבוא חורון,37.23,34.77,0,0.0,2,3709,MEVO HORON,8199385,Mevo horon,"mebwoʼ hworwon,מְבוֹא חוֹרוֹן,מבוא חורון",31.84876,35.03583,P,PPL,IL,IL,NA,NA,NA,NA,1771,250,258,Asia/Jerusalem,2020-04-26T00:00:00Z,Israel,"31.84876, 35.03583",NA,Mevo horon
גן נר,74.41,71.67,0,0.0,2,1274,GAN NER,8340977,Gan Ner,"Gan Ner,gan ner,gn nr,גַּן נֵר,גן נר",32.53106,35.3377,P,PPL,IL,NA,03,NA,NA,NA,2704,NA,157,Asia/Jerusalem,2020-04-23T00:00:00Z,Israel,"32.53106, 35.3377",NA,Gan Ner
מזכרת בתיה,67.71,65.17,קטן מ-15,NA,1.8,28,MAZKERET BATYA,294303,Mazkeret Batya,"'Eqron,Ekron,Mazkeret Batya,Mazkeret Batyah,mzkrt btyh,מזכרת בתיה,‘Eqrōn",31.85357,34.84646,P,PPL,IL,NA,02,NA,NA,NA,8034,NA,75,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"31.85357, 34.84646",NA,Mazkeret Batya
עפולה,59.20,55.83,קטן מ-15,NA,0.8,7700,AFULA,295740,Afula,"'Afula,Affula,Afula,Afule,Afuli,El 'Affule,El ‘Affūle,ʻpwlh,עפולה,‘Afula",32.60907,35.2892,P,PPL,IL,NA,03,NA,NA,NA,44930,NA,62,Asia/Jerusalem,2017-07-03T00:00:00Z,Israel,"32.60907, 35.2892",NA,Afula
גן יבנה,63.21,60.17,קטן מ-15,NA,1.3,166,GAN YAVNE,295080,Gan Yavne,"Gan Yavne,Gan Yavneh,gn ybnh,גן יבנה",31.78737,34.70659,P,PPL,IL,NA,02,NA,NA,NA,22453,NA,52,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"31.78737, 34.70659",NA,Gan Yavne
גבעת ברנר,61.24,59.70,0,0.0,2,147,GIV'AT BRENNER,294998,Giv‘at Brenner,"Giv`at Brenner,Giv`at-Brener,Givat Brenner,Giv‘at Brenner,Giv‘at-Brener,gbʻt brnr,ghfʿat brynr‎,gibeʻat berener,גִּבְעַת בְּרֶנֶר,גבעת ברנר,غفعات برينر‎",31.86684,34.80097,P,PPL,IL,NA,02,NA,NA,NA,2703,NA,78,Asia/Jerusalem,2020-04-23T00:00:00Z,Israel,"31.86684, 34.80097",NA,Giv'at Brenner
תפרח,30.27,23.32,קטן מ-15,NA,2,709,TIFRAH,293319,Tifraẖ,"Tifrah,Tifraẖ,tiperah,tprh,תִּפְרַח,תפרח",31.32657,34.67689,P,PPL,IL,NA,01,NA,NA,NA,2163,NA,156,Asia/Jerusalem,2020-04-30T00:00:00Z,Israel,"31.32657, 34.67689",NA,Tifrah
בית חשמונאי,66.88,64.50,0,0.0,2,1050,BET HASHMONAY,390265,Bet H̱ashmonay,"Beit Hashmonai,Bet Hashmonay,Bet H̱ashmonay,byt hsmwnʼy,בית השמונאי,בית חשמונאי",31.88969,34.91673,P,PPL,IL,NA,02,NA,NA,NA,2190,NA,110,Asia/Jerusalem,2020-04-22T00:00:00Z,Israel,"31.88969, 34.91673",NA,Bet Hashmonay
כוכב יאיר,83.66,81.43,0,0.0,2,1224,KOKHAV YA'IR,8141161,Kokhav Ya’ir,"Kochav Yair-Tzur Yigal,Kochav Yair–Tzur Yigal,Kokhav Ya'ir,Kokhav Ya'ir-Tzur Yig'al,Kokhav Ya'ir–Tzur Yig'al,Kokhav Ya’ir,kwkb yʼyr-zwr ygʼl,kwokab yaʼiyr-zwr yigeʼal,כּוֹכַב יָאִיר-צוּר יִגְאָל,כוכב יאיר,כוכב יאיר-צור יגאל",32.22623,35.00222,P,PPL,IL,NA,02,NA,NA,NA,8773,NA,92,Asia/Jerusalem,2020-11-23T00:00:00Z,Israel,"32.22623, 35.00222",NA,Kokhav Ya'ir
ניצן,54.81,50.79,קטן מ-15,NA,4.3,351,NIZZAN,294539,Niẕẕan,"Dohan,Doẖan,Kefar HaNo`ar Nizzanim,Kefar HaNo‘ar Niẕẕanim,Nizzan,Niẕẕan,dhn,nyzn,nzn,דחן,כפר הנוער ניצנים,ניצן,נצן",31.73854,34.62985,P,PPL,IL,NA,01,NA,NA,NA,2343,NA,46,Asia/Jerusalem,2020-05-03T00:00:00Z,Israel,"31.73854, 34.62985",NA,Nizzan
אזור,56.69,53.70,קטן מ-15,NA,1.9,565,AZOR,295584,Azor,"Azor,Azur,Yazir,Yazor,Yazur,Yāzūr,azwr,ʼzwr,אזור,آزور,أزور",32.0243,34.80632,P,PPL,IL,NA,05,NA,NA,NA,16201,NA,25,Asia/Jerusalem,2020-01-24T00:00:00Z,Israel,"32.0243, 34.80632",NA,Azor
לוד,52.19,47.20,30,3.7,0.9,7000,LOD,294421,Lod,"Lida,Lidd,Lod,Lodas,Lont,Lud,Ludd,Lydda,Lūd,alld,lad,ld,lodeu,lodi,lu de,ludd,lwd,rodo,Λοντ,Лод,לד,לוד,اللد,لاد,لد,ലുദ്ദ്,ლოდი,ロード,卢德,로드",31.9467,34.8903,P,PPL,IL,NA,02,NA,NA,NA,66589,NA,68,Asia/Jerusalem,2017-08-29T00:00:00Z,Israel,"31.9467, 34.8903",NA,Lod
רכסים,31.37,26.22,קטן מ-15,NA,1.9,922,REKHASIM,293721,Rekhasim,"Rekhasim,rksym,רכסים",32.74907,35.09901,P,PPL,IL,NA,04,NA,NA,NA,10682,NA,43,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.74907, 35.09901",NA,Rekhasim
טלמון,44.35,42.07,קטן מ-15,NA,2.7,3788,TALMON,8199392,Talmon,"talemwon,tlmwn,טַלְמוֹן,טלמון",31.93927,35.13539,P,PPL,IL,IL,NA,NA,NA,NA,2797,560,561,Asia/Jerusalem,2020-04-24T00:00:00Z,Israel,"31.93927, 35.13539",NA,Talmon
צור הדסה,48.20,45.92,קטן מ-15,NA,2.1,1113,ZUR HADASSA,293020,Ẕur Hadassa,"Tsur Hadassa,Zur Hadassa,zwr hdsh,צור הדסה,Ẕur Hadassa",31.71912,35.09708,P,PPL,IL,NA,06,NA,NA,NA,4700,NA,756,Asia/Jerusalem,2020-10-12T00:00:00Z,Israel,"31.71912, 35.09708",NA,Zur Hadassa
אחוזת ברק,69.47,66.47,0,0.0,2,1330,AHUZZAT BARAQ,8139973,Aẖuzzat Baraq,"Ahuzat Barak,Ahuzzat Baraq,Aẖuzzat Baraq,ʼhwzt brq,אחוזת ברק,אחזת ברק",32.64187,35.33834,P,PPL,IL,NA,03,NA,NA,NA,2256,NA,161,Asia/Jerusalem,2020-04-21T00:00:00Z,Israel,"32.64187, 35.33834",NA,Ahuzzat Baraq
דייר חנא,56.14,50.26,קטן מ-15,NA,2,492,DEIR HANNA,295339,Deir Ḥannā,"Dayr Hannah,Deir Hanna,Deir H̱anna,Deir Ḥannā,Kefar Yohanah,deyr hanaʼ,dyr hna‎,דֵיר חַנָּא,דיר חנא,دير حنا‎",32.86196,35.36365,P,PPL,IL,NA,03,NA,NA,NA,8417,NA,289,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.86196, 35.36365",NA,Deir Hanna
חדרה,60.85,57.54,קטן מ-15,NA,0.2,6500,HADERA,294946,Hadera,"Chadera,El Khudeira,Hadera,Haderah,Hadeyra,Hedora,Hudeira,H̱adera,Khadera,Khederah,hdrh,Хадера,חדרה",32.44192,34.9039,P,PPL,IL,NA,04,NA,NA,NA,75854,NA,13,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.44192, 34.9039",NA,Hadera
כרמיאל,67.46,64.49,קטן מ-15,NA,0.7,1139,KARMI'EL,294577,Karmi’el,"Carmiel,Karmi'el,Karmiehl',Karmiel,Karmi’el,Qiryat Karmiel,krmyʼl,Кармиэль,כרמיאל",32.91708,35.30501,P,PPL,IL,NA,03,NA,NA,NA,44382,NA,233,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.91708, 35.30501",NA,Karmi'el
זרזיר,49.82,45.22,קטן מ-15,NA,2,975,ZARZIR,8264669,Zarzir,"Beit Zarzir,Zarzir,zarazir,zrazyr,zrzyr,זרזיר,زرازير,زرزير,زَرَازِير",32.72754,35.21381,P,PPL,IL,NA,03,NA,NA,NA,7942,NA,178,Asia/Jerusalem,2020-04-24T00:00:00Z,Israel,"32.72754, 35.21381",NA,Zarzir
רהט,34.51,28.55,85,11.5,3.7,1161,RAHAT,8184212,Rahat,"Rahat,Rakhat,alkhdraʾ,la ha te,raht,rht,Рахат,רהט,רהת,الخضراء,راهط,رهط,رہط,რაჰატი,拉哈特",31.39547,34.75699,P,PPL,IL,NA,01,NA,NA,NA,19586,NA,228,Asia/Jerusalem,2019-05-04T00:00:00Z,Israel,"31.39547, 34.75699",NA,Rahat
רמלה,55.37,50.27,17,2.2,1.5,8500,RAMLA,293768,Ramla,"Er Ramle,Ramla,Ramle,Ramlo,alrmlt,la mu la,lameulla,ramla,ramura,rmlh,Рамла,רמלה,الرملة,رمله,رملہ، اسرائیل,ラムラ,拉姆拉,라믈라",31.92923,34.86563,P,PPLA,IL,NA,02,NA,NA,NA,63860,NA,83,Asia/Jerusalem,2017-07-05T00:00:00Z,Israel,"31.92923, 34.86563",NA,Ramla
יבנאל,33.65,30.85,קטן מ-15,NA,3.2,46,YAVNE'EL,293220,Yavne’el,"Bayt Jinn,Beit Gan,Beith Gan,Bet Gan,Bethgan,Kefar Yamma,Mishmar HaShelosha,Mishmar Hasheloshah,Mishmar Hashloshah,Yabneel,Yabniel,Yamah,Yamma,Yavne'el,Yavne’el,Yavni'el,Yavniel,Yavni’el,byt gn,msmr hslwsh,ybnʼl,בית גן,יבנאל,משמר השלושה",32.70619,35.50435,P,PPL,IL,NA,03,NA,NA,NA,2900,NA,-18,Asia/Jerusalem,2020-11-18T00:00:00Z,Israel,"32.70619, 35.50435",NA,Yavne'el
נשר,66.06,63.39,קטן מ-15,NA,2.5,2500,NESHER,294078,Nesher,"Neixer,Nescher,Neser,Neseras,Nesher,Neszer,Nešer,Nešeras,nei xie er,nsr,nyshr,nyshyr,Нешер,נשר,نيشير,نیشر,内谢尔",32.76622,35.04425,P,PPL,IL,NA,04,NA,NA,NA,21245,NA,125,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.76622, 35.04425",NA,Nesher
כוכב השחר,45.46,42.55,קטן מ-15,NA,2.7,3564,KOKHAV HASHAHAR,283047,Kokhav HaShaẖar,"Kochav HaShachar,Kochav Shachar,Kokhav HaShahar,Kokhav HaShaẖar,Nahal Kochav Hashahar,kwkb hshr,kwokab hasahar,כּוֹכַב הַשַּׁחַר,כוכב השחר",31.96028,35.34923,P,STLMT,IL,NA,06,NA,NA,NA,2122,NA,605,Asia/Jerusalem,2020-04-25T00:00:00Z,Israel,"31.96028, 35.34923",NA,Kokhav HaShahar
שתולים,59.82,56.00,0,0.0,2,763,SHETULIM,293508,Shetulim,"Bitaniya Haderomit,Bitaniyah Hadromit,Bitanya Ha-Deromit,Shetulim,bytnyh hdrwmyt,setwliym,stwlym,ביתניה הדרומית,שְׁתוּלִים,שתולים",31.77354,34.68388,P,PPL,IL,NA,01,NA,NA,NA,2054,NA,27,Asia/Jerusalem,2020-05-03T00:00:00Z,Israel,"31.77354, 34.68388",NA,Shetulim
יאנוח-ג'ת,55.73,49.49,קטן מ-15,NA,2,1295,YANUH-JAT,12156671,Yanuh-Jat,"yanwh-jt‎,yʼnwh-g't,יאנוח-ג'ת,يانوح-جت‎",32.98515,35.2491,P,PPL,IL,NA,03,NA,NA,NA,6614,NA,444,Asia/Jerusalem,2020-04-24T00:00:00Z,Israel,"32.98515, 35.2491",NA,Yanuh-Jat
שלומי,62.53,59.72,0,0.0,2,812,SHELOMI,293522,Shelomi,"Chelomi,Shelomi,Shlomi,slwmy,שלומי",33.07216,35.14452,P,PPL,IL,NA,03,NA,NA,NA,5608,NA,82,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"33.07216, 35.14452",NA,Shelomi
ג'ולס,63.13,56.99,קטן מ-15,NA,2.1,485,JULIS,294620,Jūlis,"Gulis,Julis,Jūlis,g'wlis,g'wls,jwls‎,Ğulis,ג'וּלִס,ג’ולס,جولس‎",32.94267,35.18278,P,PPL,IL,NA,03,NA,NA,NA,6375,NA,105,Asia/Jerusalem,2020-04-23T00:00:00Z,Israel,"32.94267, 35.18278",NA,Julis
אליכין,63.30,60.07,0,0.0,2.5,41,ELYAKHIN,295232,Elyakhin,"Elyakhin,Khirbat Zalafa,Ma'abara Merkazit Emeq Hefer,Ma’abara Merkazit Emeq H̱efer,אליכין",32.40793,34.92433,P,PPL,IL,NA,02,NA,NA,NA,2728,NA,36,Asia/Jerusalem,2012-01-18T00:00:00Z,Israel,"32.40793, 34.92433",NA,Elyakhin
מעגלים,47.87,43.80,0,0.0,2,1082,MA'GALIM,294392,Ma‘galim,"Ma'galim,Ma`galim,Ma‘galim,Ma’galim,maʻegaliym,mʻglym,מַעְגָלִים,מעגלים",31.39688,34.5995,P,PPL,IL,NA,01,NA,NA,NA,2059,NA,127,Asia/Jerusalem,2020-11-23T00:00:00Z,Israel,"31.39688, 34.5995",NA,Ma'galim
חצור הגלילית,59.64,55.48,קטן מ-15,NA,3.8,2034,HAZOR HAGELILIT,294809,H̱aẕor HaGelilit,"Hatsor HaGelilit,Hatzor,Hatzor HaGlilit,Hazon,Hazor,Hazor HaGelilit,Hazor HaGlilit,H̱atsor HaGelilit,H̱aẕor,H̱aẕor HaGelilit,H̱aẕor HaGlilit,hzwr hglylyt,חצור הגלילית",32.98049,35.54243,P,PPL,IL,NA,03,NA,NA,NA,9165,NA,382,Asia/Jerusalem,2020-09-17T00:00:00Z,Israel,"32.98049, 35.54243",NA,Hazor HaGelilit
צור משה,53.96,51.97,0,0.0,2,276,ZUR MOSHE,293014,Ẕur Moshe,"Tsur Moshe,Tsur Mosheh,Zur Moshe,zwr msh,צור משה,Ẕur Moshe",32.29819,34.91313,P,PPL,IL,NA,02,NA,NA,NA,2400,NA,65,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.29819, 34.91313",NA,Zur Moshe
נתיבות,42.48,37.95,קטן מ-15,NA,1.3,246,NETIVOT,294068,Netivot,"Azata,Azzata,Netivot,Netiwot,nei ti wo te,netivoti,ntybwt,ntyfwt,ntywt,ntywwt,Нетивот,Нетівот,נתיבות,نتيفوت,نتیوت,نتیووت,ნეთივოთი,內提沃特",31.42305,34.58911,P,PPL,IL,NA,01,NA,NA,NA,24564,NA,151,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"31.42305, 34.58911",NA,Netivot
חריש,38.93,36.30,קטן מ-15,NA,2.2,1247,HARISH,8141842,H̱arish,"Harish,H̱arish,hariys,hrys,חָרִישׁ,חריש",32.46096,35.0435,P,PPL,IL,NA,04,NA,NA,NA,7569,NA,116,Asia/Jerusalem,2020-10-12T00:00:00Z,Israel,"32.46096, 35.0435",NA,Harish
ברקת,36.44,31.83,קטן מ-15,NA,3.1,2038,BAREQET,295565,Bareqet,"Bareket,Bareqet,Kefar Hahotsevim,bareqet,brqt,בַּרֶקֶת,ברקת",32.01839,34.94416,P,PPL,IL,NA,02,NA,NA,NA,2035,NA,74,Asia/Jerusalem,2020-05-02T00:00:00Z,Israel,"32.01839, 34.94416",NA,Bareqet
רבבה,45.20,41.28,0,0.0,2.3,3795,REVAVA,8199422,Revava,"Revava,rbbh,rebabah,רְבָבָה,רבבה",32.11926,35.12896,P,PPL,IL,IL,NA,NA,NA,NA,1262,420,455,Asia/Jerusalem,2020-05-01T00:00:00Z,Israel,"32.11926, 35.12896",NA,Revava
שדרות,54.06,50.19,קטן מ-15,NA,1.6,1031,SEDEROT,293619,Sederot,"Sderot,Sdérot,Sederot,Shederot,sdrwt,Şderot,Сдерот,שדרות",31.525,34.59693,P,PPL,IL,NA,01,NA,NA,NA,20228,NA,90,Asia/Jerusalem,2017-07-05T00:00:00Z,Israel,"31.525, 34.59693",NA,Sederot
ירושלים,45.31,39.97,467,4.9,1.6,3000,JERUSALEM,281184,Jerusalem,"Adonai-jireh,Aelia Capitolina,Al Quds,Al-Kuds,Al-Qudis,Al-Quds,Al-Qudıs,Ariel,Baitul Maqdis,Baitulmuqaddis,Bajtul Makudis,Bayt al-Maqdis,Bayt al-Muqaddas,Cherusalem,Colonia Aelia Capitolina,Djeruzalem,El Kuds,El Quds esh Sherif,Erusagem,Erusalim,Geruesalem,Gerusalem,Gerusalemme,Gerüsalem,Gierusalemme,Girusalemmi,Herusale,Herusalem,Herusalẽ,Hierosolyma,Hierousalem,Hierousalēm,Hierusalem,Hiruharama,IJerusalem,Ia-lo-sak-leng,Ia-lo-sat-leng,Iarusaileim,Iarúsailéim,Iebous,Iebus,Ierosolyma,Ierousalem,Ierousalimu,Ierusalem,Ierusalema,Ierusalim,Ir David,Ir Ha-Qdoosha,Ir Ha-Qodesh,Iyerusalim,Ià-lô-sák-lēng,Iâ-lō͘-sat-léng,Iýerusalim,JRS,Jarusalen,Jeriwsalem,Jerozale,Jerozalė,Jerozolema,Jerozolima,Jerozolëma,Jerusalem,Jerusalemi,Jerusalemo,Jerusalemu,Jerusalen,Jerusalim,Jerusalèm,Jerusalém,Jerusalén,Jeruusalemm,Jeruzale,Jeruzalem,Jeruzaleme,Jeruzalim,Jeruzalém,Jeruzalė,Jeruzsalem,Jeruzsálem,Jerúsalem,Jerúsálẹ́mù,Jorsala,Jorsalaborg,Jorsalir,Jérusalem,Jórsalaborg,Jórsalir,Kouds,Kudues,Kudus,Kudüs,Kuuds-GӀala,Moria,Morias,Orcalim,Orselim,Orşelîm,Quddus,Qudus,Queds,Qüds,Salem,Shalem,Sion,Solyma,Ursalimmu,Urselim,Urshalim,Urusalim,Urušalim,Urşelim,Uršalimmu,Xerusalen,Xerusalén,Ya-lu-sat-lang,Yerusalem,Yerusalemi,Yerusalemu,Yerusalémi,Yerushalayim,Yirushalayim,Yirushalāyim,Yâ-lu-sat-lâng,Yérusalem,Zion,al-Balat,al-Quds as-Sarif,al-Quds aš-Šarīf,albla,alqds,alqds alshryf,alquds,aryyyl,auwrshalym,awly alqbltyn,awrsalm,awrshlym,awrshlym alqds,awrslyman,bayt‌almuqdas,byt almqds,erucalem,erusaremu,haqodes,ierusalimi,jerusalama,jerusalem,jerusalema,jeruselama,lqds,mdynt alqds,mrya,mworiyah,mwryh,quds,qudus,qۇds,salem,salym,shywn,slm,wrshlym,yarusalama,ybws,ye lu sa leng,ye ru sa lem,yebws,yelusallem,yerwsalami,yerwsalayim,yerwselem,yrwshlm,yrwslm,yrwslym,ywrshەlym,ziywon,zywn,Αριηλ,Ιεβους,Ιεροσολυμα,Ιεροσόλυμα,Ιερουσαλήμ,Ιερουσαλημ,Μωριας,Σαλημ,Σιων,Σολυμα,Єрусалим,Іерусалім,Їєроусалимъ,Јерусалим,Байтул Макъдис,Ерусалим,Иерусалим,Йерусалим,Кудус,Къудс-ГӀала,Уршалим,Երուսաղեմ,אֵילִיָּה קַפִּיטוֹלִינָה,הַקֹּדֶשׁ,יְבוּס,יְרוּשְׁלֶם,יְרוּשָׁלַיִם,יְרוּשָׁלַםִ,יְרוּשָׁלָםִ,יבוס,ירושלים,ירושלם,מוֹרִיָּה,מוריה,צִיּוֹן,ציון,שָׁלֵם,שלם,أورسالم,أورشليم,أورشليم القدس,أولى القبلتين,أُورشَليم,إيلياء,ئورشەلیم,اريئيل,البلا,القدس,القدس الشريف,القُدس,القُدْس,اورسلیمان,اورشلیم,بيت المقدس,بَیْت‌المُقدَّس,بیت المقدس,ساليم,صهيون,قُدس,قۇدس,لقدس,مدينة القدس,مريّا,ورشليم,يبوس,یروشلم,ܐܘܪܫܠܡ,ܨܗܝܘܢ,ޤުދުސް,जेरुसलेम,जेरुसेलम,जेरूसलम,यरुशलम,জেরুসালেম,ਜੇਰੂਸਲਮ,ଜେରୁସାଲେମ,எருசலேம்,జెరూసలేం,ಜೆರುಸಲೆಂ,ജെറുസലേം,เยรูซาเลม,ເຢ​ຣູ​ຊາ​ເລັມ,ཇེ་རུ་ས་ལེམ།,ဂျေရုဆလင်မြို့,იერუსალიმი,እየሩሳሌም,エルサレム,耶路撒冷,예루살렘,𐌹𐌰𐌹𐍂𐌿𐍃𐌰𐌿𐌻𐍅𐌼𐌰",31.76904,35.21633,P,PPLA,IL,NA,06,NA,NA,NA,801000,NA,786,Asia/Jerusalem,2019-09-05T00:00:00Z,Israel,"31.76904, 35.21633",NA,Jerusalem
בית דגן,60.61,57.60,קטן מ-15,NA,2.2,466,BET DAGAN,295475,Bet Dagan,"Bayt Dajan,Beit Dagon,Beit Dajan,Bet Dagan,bt dgn,byt dgn,בית דגן,בת דגן",32.00191,34.82977,P,PPL,IL,NA,02,NA,NA,NA,7099,NA,36,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.00191, 34.82977",NA,Bet Dagan
ראש פינה,60.53,58.06,קטן מ-15,NA,2.5,26,ROSH PINNA,293688,Rosh Pinna,"El Ja`une,El Jā‘ūne,Ja`una,Ja`unah,Ja‘unah,Jā‘ūna,RPN,Rosh Pinah,Rosh Pinna,Rosh Pinnah,ראש פינה,ראש פנה",32.96894,35.54258,P,PPL,IL,NA,03,NA,NA,NA,2492,NA,391,Asia/Jerusalem,2013-05-18T00:00:00Z,Israel,"32.96894, 35.54258",NA,Rosh Pinna
מצפה יריחו,40.97,38.32,0,0.0,2,3576,MIZPE YERIHO,282727,Miẕpé Yeriẖo,"Mitzpe Yeriho,Mitzpeh Yericho,mizepeh yeriyhwo,mzph yryhw,מִצְפֵּה יְרִיחוֹ,מצפה יריחו",31.81672,35.39405,P,STLMT,IL,NA,06,NA,NA,NA,2453,NA,173,Asia/Jerusalem,2020-04-27T00:00:00Z,Israel,"31.81672, 35.39405",NA,Mizpe Yeriho
